City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,281.48,77,78,6.33,CL,1681943798
84,chui,-33.6971,-53.4616,287.58,72,53,4.73,UY,1681944243
85,jamestown,42.097,-79.2353,284.95,43,0,4.12,US,1681943765
86,sainte-marie,-20.8968,55.5496,298.24,81,75,4.63,RE,1681944243
87,stanley,54.868,-1.6985,279.2,94,20,2.57,GB,1681943801
88,papao,-17.75,-149.55,303.97,79,99,6.94,PF,1681944244
89,tazacorte,28.629,-17.9293,292.69,85,100,2.06,ES,1681943778
90,santa terezinha,-29.9002,-50.0904,287.54,76,87,5.35,BR,1681944244
91,wad rawah,15.1603,33.1397,303.17,8,0,4.77,SD,1681944245
92,kencong,-8.2833,113.3667,297.29,91,73,0.84,ID,1681944245
93,abu dhabi,24.4667,54.3667,299.23,60,0,1.54,AE,1681944154
94,tete,-16.1564,33.5867,292.2,100,0,0.0,MZ,1681944245
95,santiago del estero,-27.7951,-64.2615,294.01,45,2,2.64,AR,1681944245
96,tionk essil,12.7856,-16.5217,299.18,51,19,6.22,SN,1681944246
97,as sulayyil,20.4607,45.5779,293.29,74,65,5.88,SA,1681943884
98,antofagasta,-23.65,-70.4,290.75,85,26,2.04,CL,1681944246
99,revda,56.801,59.9303,273.65,70,99,1.42,RU,1681943821
100,albany,42.6001,-73.9662,279.62,70,83,0.45,US,1681944002
101,altamont,42.2068,-121.7372,280.04,54,75,9.77,US,1681944247
102,punta arenas,-53.15,-70.9167,280.21,70,20,16.98,CL,1681943540
103,pangkalanbuun,-2.6833,111.6167,297.1,96,61,0.96,ID,1681944247
104,uturoa,-16.7333,-151.4333,301.32,78,88,6.61,PF,1681943784
105,taghazout,30.5426,-9.7112,292.58,85,2,1.96,MA,1681944247
106,mariakani,-3.8633,39.4736,296.61,91,70,3.44,KE,1681944248
107,vorgashor,67.5833,63.95,265.77,97,100,3.7,RU,1681943800
108,uttar char fasson,22.2332,90.7132,301.22,82,69,6.31,BD,1681944248
109,port elizabeth,-33.918,25.5701,293.32,87,0,2.06,ZA,1681943795
110,nova sintra,14.8667,-24.7167,293.28,76,88,7.84,CV,1681943904
111,new plymouth,-39.0667,174.0833,294.02,100,91,3.03,NZ,1681944248
112,sergeyevka,53.88,67.4158,272.54,53,0,2.71,KZ,1681944249
113,olonkinbyen,70.9221,-8.7187,275.3,92,45,10.09,SJ,1681943816
114,bagan serai,5.0108,100.541,298.16,94,100,1.05,MY,1681944249
115,fort mcmurray,56.7268,-111.381,276.92,65,100,6.69,CA,1681943918
116,gaspe,48.8334,-64.4819,278.27,93,75,1.54,CA,1681943766
117,chonchi,-42.6128,-73.8092,287.1,99,95,0.75,CL,1681943823
118,panitian,9.0965,118.0864,300.88,80,89,2.08,PH,1681944250
119,wailua homesteads,22.0669,-159.378,299.68,64,20,2.68,US,1681943798
120,atafu village,-8.5421,-172.5159,301.47,70,100,1.59,TK,1681943812
121,agat village,13.3886,144.6585,301.68,74,40,6.17,GU,1681944250
122,flying fish cove,-10.4217,105.6791,300.33,77,81,8.01,CX,1681943764
123,shalqar,47.8333,59.6,282.28,37,95,2.18,KZ,1681944251
124,la passe,45.5549,-0.8967,287.28,85,0,3.79,FR,1681943788
125,sotkamo,64.1333,28.4167,273.16,99,100,2.5,FI,1681944251
126,maun,-19.9833,23.4167,293.13,32,0,3.6,BW,1681944252
127,olyokminsk,60.3736,120.4264,268.89,82,100,0.99,RU,1681943899
128,khandud,36.9513,72.318,271.4,85,100,0.86,AF,1681944252
129,masterton,-40.9597,175.6575,290.31,91,97,1.84,NZ,1681944252
130,ulety,51.3572,112.4849,264.21,62,51,9.37,RU,1681944253
131,le port,-20.9373,55.2919,298.15,92,18,2.92,RE,1681944253
132,port shepstone,-30.7414,30.455,293.58,41,0,3.83,ZA,1681943915
133,carnarvon,-24.8667,113.6333,296.11,44,84,6.7,AU,1681943774
134,santa cruz do sul,-29.7175,-52.4258,288.27,55,93,4.5,BR,1681943970
135,naha,26.2125,127.6811,298.53,94,75,8.75,JP,1681944254
136,codajas,-3.8367,-62.0569,298.21,91,100,1.2,BR,1681944254
137,yelan',50.949,43.7378,280.54,53,91,3.81,RU,1681944254
138,hadibu,12.65,54.0333,300.28,75,10,2.71,YE,1681943803
139,paragominas,-2.9667,-47.4833,296.68,97,99,0.98,BR,1681944254
140,abhar,36.1468,49.218,286.73,42,19,0.87,IR,1681944255
141,port-vila,-17.7338,168.3219,301.93,70,20,0.51,VU,1681944255
142,lorain,41.3334,-82.1499,291.61,62,20,5.14,US,1681944256
143,kannur,11.8675,75.3576,299.64,83,52,1.16,IN,1681944256
144,kongsvinger,60.1905,11.9977,279.52,32,9,1.88,NO,1681944257
145,east london,-33.0153,27.9116,300.32,29,37,4.66,ZA,1681943857
146,la'ie,21.6477,-157.9253,302.53,59,100,1.34,US,1681943683
147,sao bento,-6.2833,-37.75,297.81,62,85,2.2,BR,1681944258
148,quellon,-43.1167,-73.6167,286.29,100,100,2.06,CL,1681943810
149,saint-louis,16.3333,-15.0,303.95,24,78,5.03,SN,1681944258
150,ponta delgada,37.7333,-25.6667,289.55,94,75,9.26,PT,1681943872
151,zhumadian,32.9794,114.0294,292.63,90,0,2.13,CN,1681944016
152,magistral'nyy,56.1725,107.4458,264.16,71,100,2.16,RU,1681944259
153,west island,-12.1568,96.8225,300.14,89,75,8.23,CC,1681943825
154,hithadhoo,-0.6,73.0833,301.63,72,100,2.19,MV,1681943862
155,vadso,70.0744,29.7487,277.64,87,75,5.66,NO,1681943832
156,villa de reyes,21.8,-100.9333,303.45,10,87,5.88,MX,1681944259
157,gorontalo,0.5412,123.0595,298.72,87,11,1.0,ID,1681944260
158,kone,-21.0595,164.8658,300.16,68,2,1.04,NC,1681944260
159,kapa'a,22.0752,-159.319,300.43,64,20,2.68,US,1681943861
160,tolanaro,-25.0319,46.9987,297.19,88,20,3.09,MG,1681943784
161,port mathurin,-19.6833,63.4167,299.05,77,14,8.83,MU,1681943784
162,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,56,75,7.0,RU,1681943826
163,oppdal,62.5943,9.6912,276.13,71,65,1.37,NO,1681944261
164,santa ana de yacuma,-13.75,-65.4333,299.12,89,75,5.14,BO,1681944261
165,udachny,66.4167,112.4,259.93,96,99,1.73,RU,1681943809
166,awjilah,29.1081,21.2869,290.6,41,0,4.14,LY,1681944262
167,st. john's,47.5649,-52.7093,275.19,93,100,6.17,CA,1681943817
168,la gi,10.6667,107.7833,299.87,86,75,2.07,VN,1681944262
169,erbaa,40.6689,36.5675,286.17,92,100,0.51,TR,1681944262
170,shihezi,44.3,86.0333,278.61,42,39,2.24,CN,1681944262
171,kerema,-7.9631,145.7785,300.32,75,45,1.04,PG,1681943849
172,kalabo,-14.97,22.6814,291.8,67,13,1.66,ZM,1681944263
173,shunyi,40.125,116.6453,292.12,26,0,5.0,CN,1681944263
174,bernalillo,35.05,-106.6673,297.33,8,20,15.43,US,1681944263
175,mahdia,35.5047,11.0622,290.12,76,100,7.44,TN,1681944263
176,shingu,33.7333,135.9833,292.06,86,100,2.72,JP,1681944264
177,slawkow,50.2994,19.3897,280.47,98,100,1.57,PL,1681944264
178,kedougou,12.5579,-12.1743,306.95,16,13,1.21,SN,1681944264
179,santo antonio,-6.3106,-35.4789,297.04,92,64,2.47,BR,1681944264
180,kapuskasing,49.4169,-82.4331,274.2,75,100,7.2,CA,1681943912
181,ilulissat,69.2167,-51.1,268.16,80,100,2.06,GL,1681943765
182,alice springs,-23.7,133.8833,283.9,87,0,0.0,AU,1681943907
183,zuni pueblo,35.0725,-108.8506,290.5,15,1,15.44,US,1681944265
